Tier,Operator,Company,Category,Scope(s),Basis,Offshore assets linked (this operator),Onshore facilities (this operator),Confidence,Note
Tier 2,BW Opal (BW Offshore),Monadelphous,Offshore contractor,Maintenance; Hookup/Commissioning,"contract/EA, via asset",Barossa (BW Opal FPSO) (H),,H,
Tier 2,BW Opal (BW Offshore),Valaris (Ensco,Offshore contractor,Drilling,via asset,Barossa (BW Opal FPSO) (H),,H,Barossa FIELD development contractor (Santos-contracted); listed here because your Key Assets tab puts Barossa under BW Offshore
Tier 2,BW Opal (BW Offshore),Wood,Offshore contractor,Helicopters,"contract/EA, via asset",Barossa (BW Opal FPSO) (M),,M,
Tier 2,BW Opal (BW Offshore),Programmed,Offshore contractor,Marine; Drilling; Catering; Maintenance; ROV; Construction; Hookup/Commissioning; Decomm,via asset,Barossa (BW Opal FPSO) (L),,L,
Tier 2,BW Opal (BW Offshore),vertech,Offshore contractor,Helicopters,via asset,Barossa (BW Opal FPSO) (L),,L,Barossa FIELD development contractor (Santos-contracted); listed here because your Key Assets tab puts Barossa under BW Offshore
Tier 2,BW Opal (BW Offshore),Weststar-GAP,Added employer,(not on your contractors tab — ADDED) Helicopters,via asset,Barossa (BW Opal FPSO) (L),,L,
Other,Aus Govt (DISR) — Northern Endeavour,Vantris (Sapura),Marine key client,Construction / decommissioning,"contract/EA, via asset",Northern Endeavour FPSO (Laminaria-Corallina) — NOT on Key Assets tab (H),,H,
Other,Aus Govt (DISR) — Northern Endeavour,MEA,Offshore contractor,Decomm,"contract/EA, via asset",Northern Endeavour FPSO (Laminaria-Corallina) — NOT on Key Assets tab (H),,H,
Other,Aus Govt (DISR) — Northern Endeavour,UPS,Offshore contractor,Decomm,"contract/EA, via asset",Northern Endeavour FPSO (Laminaria-Corallina) — NOT on Key Assets tab (H),,H,
Other,Aus Govt (DISR) — Northern Endeavour,Monadelphous,Offshore contractor,Maintenance; Hookup/Commissioning,"contract/EA, via asset",Northern Endeavour FPSO (Laminaria-Corallina) — NOT on Key Assets tab (M),,M,
Other,Aus Govt (DISR) — Northern Endeavour,ESS,Offshore contractor,Catering,via asset,Northern Endeavour FPSO (Laminaria-Corallina) — NOT on Key Assets tab (L),,L,
Other,Aus Govt (DISR) — Northern Endeavour,Legeneering,Offshore contractor,Maintenance; Hookup/Commissioning,via asset,Northern Endeavour FPSO (Laminaria-Corallina) — NOT on Key Assets tab (L),,L,
Other,Aus Govt (DISR) — Northern Endeavour,Petrofac,Added employer,(not on your contractors tab — ADDED) Decomm (operator / manager),"contract/EA, via asset",Northern Endeavour FPSO (Laminaria-Corallina) — NOT on Key Assets tab (H),,H,
Other,Aus Govt (DISR) — Northern Endeavour,Bhagwan Marine,Added employer,(not on your contractors tab — ADDED) Marine,"contract/EA, via asset",Northern Endeavour FPSO (Laminaria-Corallina) — NOT on Key Assets tab (M),,M,
,,,,,,,,,
LEGEND & METHOD,,,,,,,,,
Confidence: ,,,,,,,,,
  H — documented contract/EA,   ,,,,,,,,
"  M — company/industry evidence, facility or currency unconfirmed",   ,,,,,,,,
  L — inferred / historic-only,   ,,,,,,,,
,,,,,,,,,
"ONE ROW PER OPERATOR–COMPANY PAIR (filter col B). Tiers as you specified: Tier 1 = Chevron, Shell, Woodside, Inpex; Tier 2 = Santos, Jadestone, MODEC, BW Opal; 'Other' = Australian Govt (DISR) for Northern Endeavour. Esso/Bass Strait links are folded under Woodside.",,,,,,,,,
"Categories: Marine key client (your 8) · Offshore contractor (your 39) · Added employer (16) · Onshore contractor (from your onshore tab). Green 'onshore' = onshore-tab link only. Basis: 'contract/EA' = explicit operator link; 'via asset' = derived from an asset that operator runs; where your Key Assets tab lists a vessel operator (BW Offshore/Barossa, MODEC/Pyrenees) the asset attributes to BOTH vessel and field operator.",,,,,,,,,
Company counts — Chevron: 36; Shell: 19; Woodside: 44; Inpex: 19; Santos: 25; Jadestone: 7; MODEC: 5; BW Opal (BW Offshore): 10; Aus Govt (DISR) — Northern Endeavour: 8.,,,,,,,,,
"Companies with NO operator link found (DeepOcean/Shelf Subsea, Tidewater, TMT, Oceaneering, Entier, Auriga, LifeFlight) do not appear here.",,,,,,,,,
